Region Name,Territory,Distributor Code,RECORD TYPE,Distributor Name,PAN Number,GST Number,Address1,City,State,Pincode,Email Id,Contact Number,Contact Person,Distributor Status,Distributor CreatedOn,Distributor DeactivatedOn,ASM,RSEM,MIS,RSM,CE,O2C,SNF,MDM,DT Team,SALES DIRECTOR
EAST,ASM-TT-Chennai,1,ONBOARDING,Dukaan,N/A,N/A,N/A,N/A,N/A,N/A,Dukaan1234@gmail.com,8287859248,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,asmeast,CEName1,SNFName1,
EAST,ASM-TT-Chennai,2,EXISTING,w,23,23,32,d,d,N/A,sac@sac.com,3434343434,N/A,23,2,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EAST,ASM-TT-Chennai,5,EXISTING,testing001,23,23,32,delhi,d,N/A,sacs@sacs.com,3434343434,N/A,23,2,32,resmchennai,rsmchennai,asm tt chennai,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,
EAST,ASM-TT-Chennai,6,ONBOARDING,book store,N/A,N/A,N/A,N/A,N/A,N/A,bookwala123@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EAST,ASM-TT-Chennai,7,ONBOARDING,Testing Firm name ,N/A,N/A,N/A,N/A,N/A,N/A,Testingdbname@gmail.com,9998899988,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,MISName1,CEName1,SNFName1,
EAST,ASM-TT-Chennai,8,ONBOARDING,pakodewala,N/A,N/A,N/A,N/A,N/A,N/A,pakodewala123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,
EAST,ASM-TT-Chennai,9,ONBOARDING,chaiwala,N/A,N/A,N/A,N/A,N/A,N/A,chaiwala1234@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,
EAST,ASM-TT-Chennai,10,ONBOARDING,AbhiTesting,N/A,N/A,N/A,N/A,N/A,N/A,AbhiTesting123@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EAST,ASM-TT-Chennai,11,ONBOARDING,abhiTesting123,N/A,N/A,N/A,delhi,N/A,N/A,abhiTesting2@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EAST,ASM-TT-Chennai,12,ONBOARDING,abhiTesting123,N/A,N/A,N/A,delhi1,N/A,N/A,abhiTesting3@gmail.com,3456789045,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,
EAST,ASM-TT-Chennai,13,ONBOARDING,doodhwala,N/A,N/A,N/A,delhi,N/A,N/A,doodhwala123@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EAST,ASM-TT-Chennai,14,ONBOARDING,N/A,N/A,N/A,N/A,N/A,N/A,N/A,testing002@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EAST,ASM-TT-Chennai,15,ONBOARDING,parchunwala,N/A,N/A,N/A,delhi,N/A,N/A,parchunwala123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,
EAST,ASM-TT-Chennai,16,ONBOARDING,testing004,N/A,N/A,N/A,delhi,N/A,N/A,testing004@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,
EAST,ASM-TT-Chennai,17,ONBOARDING,testing005,N/A,N/A,N/A,delhi,N/A,N/A,testing005123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,
