Region Name,Territory,Distributor Code,RECORD TYPE,Distributor Name,PAN Number,GST Number,Address1,City,State,Pincode,Email Id,Contact Number,Contact Person,Distributor Status,Distributor CreatedOn,Distributor DeactivatedOn,ASM,RSEM,MIS,RSM,CE,O2C,SNF,MDM,DT Team,SALES DIRECTOR,SUPPLY
EAST,ASM-TT-Chennai,MWW000001,ONBOARDING,Dukaan,N/A,N/A,N/A,N/A,N/A,N/A,Dukaan1234@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,,EXISTING,w,23,23,32,d,d,N/A,sac@sac.com,3434343434,N/A,23,2,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,,EXISTING,testing001,23,23,32,delhi,d,N/A,sacs@sacs.com,3434343434,N/A,23,2,32,resmchennai,rsmchennai,asm tt chennai,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWE000006,ONBOARDING,book store,N/A,N/A,N/A,N/A,N/A,N/A,bookwala123@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWN000007,ONBOARDING,Testing Firm name ,N/A,N/A,N/A,N/A,N/A,N/A,Testingdbname@gmail.com,9998899988,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,DT Team UAT 2,MDMNorthUAT2a,newoc2test,asmeast,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWE000008,ONBOARDING,pakodewala,N/A,N/A,N/A,N/A,N/A,N/A,pakodewala123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWE000009,ONBOARDING,chaiwala,N/A,N/A,N/A,N/A,N/A,N/A,chaiwala1234@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWE000010,ONBOARDING,AbhiTesting,N/A,N/A,N/A,N/A,N/A,N/A,AbhiTesting123@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWE000011,ONBOARDING,abhiTesting123,N/A,N/A,N/A,delhi,N/A,N/A,abhiTesting2@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWE000012,ONBOARDING,abhiTesting123,N/A,N/A,N/A,delhi1,N/A,N/A,abhiTesting3@gmail.com,3456789045,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWE000013,ONBOARDING,doodhwala,N/A,N/A,N/A,delhi,N/A,N/A,doodhwala123@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWE000014,ONBOARDING,N/A,N/A,N/A,N/A,N/A,N/A,N/A,testing002@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWW000015,ONBOARDING,parchunwala,N/A,N/A,N/A,delhi,N/A,N/A,parchunwala123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000016,ONBOARDING,testing004,N/A,N/A,N/A,delhi,N/A,N/A,testing004@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000017,ONBOARDING,testing005,N/A,N/A,N/A,delhi,N/A,N/A,testing005123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,,EXISTING,tes,32fgte,23245dfd,delhi,delhi,N/A,N/A,testsac2@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWN000019,ONBOARDING,test234@,N/A,N/A,N/A,Delhi,N/A,N/A,dbname@gmail.com,9988998899,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,MWW000020,ONBOARDING,testing005,N/A,N/A,N/A,delhi,N/A,N/A,testing005@gmail.com,7678767876,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000021,ONBOARDING,testing006,N/A,N/A,N/A,delhi,N/A,N/A,testing006@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmchennai,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWN000022,ONBOARDING,Firm's name tested ,N/A,N/A,N/A,Delhi2,N/A,N/A,tested@gmail.com,9999977777,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,MWN000023,ONBOARDING,sdsdsdv,N/A,N/A,N/A,Delhi,N/A,N/A,dcdvd@gmail.com,2345675432,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWN000024,ONBOARDING,sdfgh,N/A,N/A,N/A,Delhi,N/A,N/A,sdf@gmail.com,3456785678,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,MWW000025,ONBOARDING,abhishek,N/A,N/A,N/A,delhi,N/A,N/A,test55522@gmail.com,8287859240,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000026,ONBOARDING,testing0009,N/A,N/A,N/A,delhi,N/A,N/A,testing0009@gmail.com,8287859240,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWN000027,ONBOARDING,Firm's Name 1,N/A,N/A,N/A,Jagdishpur,N/A,N/A,EmailID@gmail.com,7867898766,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,DTTeamNorthUAT2a,MDMNorthUAT2a,O2CName1,asmeast,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000028,ONBOARDING,Firm's Name 2,N/A,N/A,N/A,Laxmigarh,N/A,N/A,EmailID2@gmail.com,4567765433,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,MWN000029,ONBOARDING,Firm's Name 3,N/A,N/A,N/A,N/A,N/A,N/A,EmailID3@gmail.com,2345654333,N/A,N/A,N/A,N/A,RSEMNameSouth,RSMNameSouth,ASMNameSouth,DT Team UAT 2,mdmuat 1,O2CName1,MISNameSouth,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,,EXISTING,test pta,345676dffgf,45678765dfdfdf,noida,noida,noida,N/A,noida@gmail.com,8864924023,N/A,qw,qw,qw,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,,EXISTING,test pta,345676dffgf,45678765dfdfdf,noida,noida,noida,N/A,noida22@gmail.com,8864924023,N/A,qw,qw,qw,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,MWN000043,EXISTING,test pta,345676dffgf,45678765dfdfdf,noida,noida,noida,N/A,noida222@gmail.com,8864924023,N/A,qw,qw,qw,RSEMName1,RSMName1,ASMName1,DTTeam1Name,MDMName1,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,MWW000044,ONBOARDING,dukandar12001,N/A,N/A,N/A,delhi,N/A,N/A,dukandar12001@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000045,ONBOARDING,done,N/A,N/A,N/A,done,N/A,N/A,done123@gmail.com,2345678900,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWN000046,ONBOARDING,hhjhhhhhg,N/A,N/A,N/A,Delhi,N/A,N/A,jhfdjokdj@gmail.com,5789987657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWN000047,ONBOARDING,Firm's Name UAT,N/A,N/A,N/A,City1,N/A,N/A,Firm'sNameUAT@gmail.com,6789876567,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000048,ONBOARDING,xyz,N/A,N/A,N/A,delhi,N/A,N/A,example001@gmail.com,8287859248,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000049,ONBOARDING,GRTHYJ,N/A,N/A,N/A,ASDCD,N/A,N/A,ADEG@gmail.com,5678987654,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWW000050,ONBOARDING,kirana,N/A,N/A,N/A,delhi,N/A,N/A,kirana123@gmail.com,2345678909,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWN000051,ONBOARDING,Firm's Namexxxx,N/A,N/A,N/A,sdf,N/A,N/A,DistributorName1111@gmail.com,9876698765,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000052,ONBOARDING,Firm's Name2222,N/A,N/A,N/A,Delhi,N/A,N/A,EmailID2222@gmail.com,9876987678,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000053,EXISTING,DB Firm 1,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName1@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000054,EXISTING,DB Firm 2,PAN9876NJF,N/A,N/A,N/A,N/A,N/A,DBName2@gmail.com,7878787878,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
